ASIN,star_rating,ratings,featureBullets,Overview
B0CZS4JW5G,True,True,True,True
B0DBZJJ8TT,True,True,True,True
B0CPVDJBW9,False,False,True,True
B0CQWMMKWN,False,False,True,True
B0B45T73F1,False,False,False,True
B0DJRJ6XZM,False,False,False,True
B0DF6HJQNJ,False,False,True,True
B0C3LM62Q8,False,False,True,True
B0CWLDFF8J,False,False,True,True
B0D7VQ2Y6R,False,False,True,True
B0DH8H68C6,False,False,True,True
B0CXDJBL72,False,False,True,True
B092PRKN4S,False,False,True,True
B0CX5JHGSH,False,False,True,True
B0DJR8GCB6,False,False,True,True
B09GX6X8P5,False,False,False,True
B0D4VPKPVY,True,True,True,True
B0CJYLTDNN,True,True,True,True
B0D4YMSL46,False,False,True,True
B0D96CY2JY,True,True,True,True
B0CXK72DYT,False,False,True,True
B0D9P1P9TC,True,True,True,True
B0D141DRWG,False,False,True,True
B0DHNXVDPX,False,False,True,True
B07W21LFHB,False,False,True,True
B09JRYJRRB,False,False,True,True
B0D4VMZRSZ,False,False,True,True
B0CG3VRFQF,False,False,True,True
B09GPMGZG6,False,False,False,True
B0DHNQJ83N,False,False,True,True
B0DJT3KJQM,True,True,True,True
B0D5VX71DG,True,True,True,True
B0CYC9SZ7F,False,False,True,True
B0D4VNP2VM,True,True,True,True
B07B9V4S9B,False,False,True,True
B0D8BMK56T,True,True,True,True
B0CRVLL8LH,False,False,False,True
B0D819B14N,False,False,False,True
B0CZP5V1WJ,True,True,False,False
B0118X009S,False,False,False,False
B09ZBFYHBH,True,True,False,True
B08P249QJ2,True,True,False,False
B0D8182S1W,True,True,False,True
B09KLYN9KS,False,False,False,True
B0D47CYGC1,True,True,False,False
B0C3778KP2,True,True,False,False
B0CGJ1KVGZ,True,True,False,False
B0D13KTZ53,False,False,True,True
B0D8174MZH,True,True,False,False
B0D47F8RGN,True,True,False,False
B0D4YWLBS3,True,True,True,True
B0D96GMTCW,True,True,False,False
B07VW8W9TN,False,False,False,True
B0BYJDF688,False,False,False,True
B0BH4JP33K,False,False,False,True
B07XN8Y8TM,False,False,False,True
B0D95YT71H,False,False,False,False
B0D9617CPX,False,False,False,False
B07CJPX7KW,False,False,True,False
B00PBX3L7K,False,False,True,False
B0BGGP79BC,False,False,True,False
B095KL1L9D,False,False,True,False
B07H78DBLP,False,False,True,False
B0CGRD1BBM,False,False,True,True
B0CJ9NTLMH,False,False,True,False
B00N6KGRZ8,False,False,True,False
B08XY38249,False,False,False,True
B01HO9EC94,False,False,True,False
B09RW4M72M,False,False,False,False
B0DCZZ62PF,False,False,True,True
B07YSY6S6F,False,False,False,False
B0BFXD3VRP,False,False,True,False
B07KZMHLKW,False,False,True,False
B073FLBV7S,False,False,True,False
B0BNN42BNC,False,False,True,False
B09CH45ZVJ,False,False,True,False
B0C2YSFNQT,False,False,True,False
B0DKNFHKMC,True,True,False,False
B0DK73NQS7,True,True,False,False
B0DGLX4ZGW,True,True,False,False
B08HX2F6ZF,False,False,False,True
B0D8VZWWB5,False,False,False,True
B0D6KLN5GK,True,True,False,False
B0DKN5825L,True,True,False,False
B0DKJLHPK8,True,True,False,False
B0DGGJGLMG,True,True,False,False
B0BZDNSBG8,False,False,False,True
B0DJF77QKK,True,True,False,False
B07GHC9R58,False,False,True,False
B07MW4ZRJL,False,False,True,False
B0744GC2CK,False,False,True,False
B07SW4T41X,False,False,True,False
B0833VHRW1,False,False,True,False
B0BVVHLBR4,False,False,True,True
B0948T7PM2,False,False,True,False
B0CPCXG5FR,False,False,False,False
B0D9B4XH9S,False,False,False,False
B09QZQSVVG,False,False,False,True
B0DD4CSK49,True,True,False,False
B0D1C5D5HL,False,False,False,True
B0D7ZHKZD3,False,False,False,True
B09HKY8R69,False,False,False,True
B0CXJ3FBS2,False,False,False,True
B09NLYP2BF,False,False,False,True
B08G3MRK43,False,False,False,False
B0CR48MCWP,False,False,False,True
B09PHQLJ8B,False,False,False,True
B0D6BQZR4K,False,False,False,False
B09L4YBTFH,False,False,False,True
B01GNT55DS,False,False,False,True
B0CVQGF48R,False,False,True,True
B0D6BCVJQ9,False,False,True,True
B00CV1MMDY,False,False,False,True
B0CVQMLRW5,False,False,True,False
B0CKZC8R8C,False,False,True,True
B0B4KMZQV9,False,False,True,True
B0CL9CW5ZV,False,False,True,False
B0D6RTL478,True,True,True,True
B0CVQMDH43,False,False,True,False
B0D6RV5L9K,True,True,True,True
B0D6RTT1PR,True,True,True,True
B0BDMMBR89,False,False,True,True
B0BWYV7BKL,False,False,True,True
B0CVQMVDN6,False,False,True,True
B0CVQNYJ5V,False,False,True,True
B0CKZBVVFY,False,False,True,False
B0BZWLT87W,False,False,True,True
B0D6RS9L73,True,True,True,True
B0CL9CVXXB,False,False,True,True
B0CVQRK9B8,False,False,True,True
B0C5X4GRS7,False,False,True,True
B079TQY1TH,False,False,False,True
B0C1CBCH2G,False,False,False,True
B0D22WQGPR,False,False,False,True
B085W775MR,False,False,False,True
B0BMKQ3NL3,False,False,False,True
B0DJ8ZBB7K,True,True,False,True
B0DHY46R87,True,True,False,False
B0CVB4PBBG,False,False,False,True
B08PBWNB3B,False,False,False,True
B08K2WRXDN,False,False,False,True
