name,category_id
Pastelboard,379
Pre-Stretched Canvas,380
Rolled Canvas,381
Wood Art Boards,382
Artists Painting Supplies,337
Airbrush Painting Supplies,383
Airbrush Sets,398
Airbrush Spray Booths,399
Art Painting Kits,384
Art Paints,385
Artists' Paint Thinners & Solvents,386
Artists' Paintbrushes,387
Angled Art Paintbrushes,400
Art Paintbrush Sets,401
Bright Art Paintbrushes,402
Fan Art Paintbrushes,403
Filbert Art Paintbrushes,404
Foam Art Paintbrushes,405
Hake Art Paintbrushes,406
Highliner Art Paintbrushes,407
Letterer Art Paintbrushes,408
Mop Art Paintbrushes,409
One-Stroke Art Paintbrushes,410
Oval-Wash Art Paintbrushes,411
Pointed-Round Art Paintbrushes,412
Quill Art Paintbrushes,413
Round Art Paintbrushes,414
Script Art Paintbrushes,415
Square-Wash Art Paintbrushes,416
Paint Finishes,388
Paint Making Materials,389
Paint Mediums & Additives,390
Paint Mixing Trays,391
"Paint Pens, Markers & Daubers",392
Paint Daubers,417
Paint Pens & Markers,418
Paint Primers & Sealers,393
Paint Sponges,394
Paint-By-Number Kits,395
Adults' Paint-By-Number Kits,419
Palette Knives,396
Palettes & Palette Cups,397
Palette Cups,420
Palettes,421
Arts & Crafts Easels,338
Brush & Pen Cleaners,339
Printmaking Supplies,87
Etching Supplies,422
Etching & Lithography Etching Tools,428
Etching Accessories,429
Etching Materials,430
Heat Press Machines & Accessories,423
Heat Press Machines,431
Heat Press Parts & Accessories,432
Printing Presses & Accessories,424
Printmaking Inks,425
Relief & Block Printing Materials,426
Relief Printing Brayers,433
Relief Printing Linoleum,434
Relief Printing Linoleum Cutters,435
Screen Printing Supplies,427
Printmaking Squeegees,436
Screen Printing Accessories,437
Screen Printing Kits,438
Scrapbooking & Stamping Supplies,88
Craft Adhesive Vinyl,439
Decorative Rubber Stamps & Ink Pads,440
Scrapbooking Ink Pads,451
Scrapbooking Stamps,452
Decorative Clear Stamps,454
Decorative Cling Stamps,455
Decorative Wood Stamps,456
Scrapbooking Texture Plates,453
Scrapbooking Adhesives,441
Scrapbooking Photo Mounting Corners,457
Scrapbooking Albums & Refills,442
Scrapbooking Album Refills,458
Scrapbooking Albums,459
Scrapbooking Chipboard,443
Scrapbooking Die-Cutting & Embossing,444
Die-Cut Cartridges,460
Die-Cut Tools & Accessories,461
Scrapbooking Die-Cut Machine Blades,462
Scrapbooking Die-Cut Machines,463
Scrapbooking Die-Cuts,464
Scrapbooking Embellishments & Decorations,445
Scrapbooking Embellishments,465
Scrapbooking Kits,446
Scrapbooking Paper & Card Stock,447
Scrapbooking Photo Transfer & Coloring,448
Scrapbooking Stickers & Sticker Machines,449
Scrapbooking Tools,450
Sewing Products,89
Craft Bow Makers,466
Embroidery Machines,467
Industrial Machines,468
Quilting Supplies,469
Pre-Cut Quilt Squares,480
Quilting Batting,481
Quilting Cutting Mats,482
Quilting Fabric Assortments,483
Quilting Frames,484
Quilting Hoops,485
Quilting Notions,486
Quilting Patterns,487
Quilting Rotary Cutter Blades,488
Quilting Rotary Cutters,489
Quilting Rulers & Ruler Racks,490
Quilting Stencils & Templates,491
Quilting Stencils,492
Quilting Templates,493
Serger & Overlock Machine Accessories,470
Sergers & Overlock Machines,471
Sewing Machine Accessories,472
Sewing Machine Attachments,494
Sewing Machine Carrying Cases,495
Sewing Machine Oil,496
Sewing Machine Parts,497
Sewing Machine Presser Feet,498
Sewing Machines,473
Sewing Notions & Supplies,474
Bobbins,499
DIY Cloth Face Mask Supplies,500
DIY Cloth Face Mask Kits,515
Elastic Cord Adjusters,516
Face Mask Nose Bridge Strips,517
Hand Sewing Needles,501
Beading Needles,518
Embroidery & Crewel Needles,519
Hand Quilting Needles,520
Sewing Sharp Needles,521
Sewing Dress Forms & Mannequins,502
Sewing Elastic,503
Pre-Cut Adjustable Sewing Elastics,522
Sewing Elastic Bands,523
Sewing Elastic Cords,524
Sewing Fasteners,504
Buckles,525
Cord Locks,526
Interlocking Tape Sewing Fasteners,527
Sewing Buttons,528
Sewing Eyelets & Grommets,529
Sewing Snaps,530
Undergarment Sewing Fasteners,531
Zippers,532
Sewing Heat Transfer Film,505
Sewing Heat Transfer Paper,506
Sewing Interfacing,507
Sewing Machine & Serger Needles,508
Embroidery Machine Needles,533
Quilting Machine Needles,534
Serger Needles,535
Sewing Machine Needles,536
